t, pos
0,0
0.000833333333333333,0.00034292337915374
0.00166666666666667,0.00274050031038904
0.0025,0.00923297242738589
0.00333333333333333,0.0218318586162751
0.00416666666666667,0.0425058456559248
0.005,0.0731669792946865
0.00583333333333333,0.115657252623276
0.00666666666666667,0.171735685816708
0.0075,0.243065987871625
0.00833333333333333,0.33120488688306
0.00916666666666667,0.437591210715356
0.01,0.563535794658491
0.0108333333333333,0.710212286860363
0.0116666666666667,0.878648916028284
0.0125,1.06972127914339
0.0133333333333333,1.28414619977692
0.0141666666666667,1.52247670008793
0.015,1.78509812177016
0.0158333333333333,2.07222544810338
0.0166666666666667,2.38391725688941
0.0175,2.72016120159573
0.0183333333333333,3.08092377027372
0.0191666666666667,3.46615233208938
0.02,3.8757751783632
0.0208333333333333,4.30970157848644
0.0216666666666667,4.76782185067013
0.0225,5.25000744747164
0.0233333333333333,5.75611105603214
0.0241666666666667,6.28596671294665
0.025,6.83938993367738
0.0258333333333333,7.41617785640921
0.0266666666666667,8.01610940023524
0.0275,8.63894543754898
0.0283333333333333,9.28442898050893
0.0291666666666667,9.95228538142995
0.03,10.6422225469452
0.0308333333333333,11.3539311657719
0.0316666666666667,12.0870849499028
0.0325,12.8413408890359
0.0333333333333333,13.6163395180434
0.0341666666666667,14.411705197272
0.035,15.2270464054552
0.0358333333333333,16.06195604501
0.0366666666666667,16.9160117594791
0.0375,17.7887762628721
0.0383333333333333,18.6797976806476
0.0391666666666667,19.5886099020717
0.04,20.5147329436768
0.0408333333333333,21.4576733235385
0.0416666666666667,22.416924446078
0.0425,23.39196699709
0.0433333333333333,24.3822693486882
0.0441666666666667,25.3872879738528
0.045,26.4064678702567
0.0458333333333333,27.4392429930393
0.0466666666666667,28.4850366961915
0.0475,29.5432621822069
0.0483333333333333,30.6133229596487
0.0491666666666667,31.6946133082759
0.05,32.7865187513656
0.0508333333333333,33.8884165348637
0.0516666666666667,34.9996761129894
0.0525,36.1196596399163
0.0533333333333333,37.247722467145
0.0541666666666667,38.3832136461809
0.055,39.5254764361239
0.0558333333333333,40.6738488157755
0.0566666666666667,41.827663999863
0.0575,42.9862509589784
0.0583333333333333,44.1489349428273
0.0591666666666667,45.3150380063783
0.06,46.4838795385048
0.0608333333333333,47.6547767927047
0.0616666666666667,48.8270454194856
0.0625,50
0.0633333333333333,51.1729545805144
0.0641666666666667,52.3452232072953
0.065,53.5161204614951
0.0658333333333333,54.6849619936217
0.0666666666666667,55.8510650571727
0.0675,57.0137490410216
0.0683333333333333,58.172336000137
0.0691666666666667,59.3261511842245
0.07,60.4745235638761
0.0708333333333333,61.6167863538191
0.0716666666666667,62.7522775328549
0.0725,63.8803403600837
0.0733333333333333,65.0003238870106
0.0741666666666667,66.1115834651363
0.075,67.2134812486344
0.0758333333333333,68.3053866917241
0.0766666666666667,69.3866770403513
0.0775,70.4567378177931
0.0783333333333333,71.5149633038085
0.0791666666666667,72.5607570069607
0.08,73.5935321297433
0.0808333333333333,74.6127120261472
0.0816666666666667,75.6177306513118
0.0825,76.6080330029099
0.0833333333333333,77.583075553922
0.0841666666666667,78.5423266764615
0.085,79.4852670563233
0.0858333333333333,80.4113900979283
0.0866666666666667,81.3202023193524
0.0875,82.2112237371279
0.0883333333333333,83.0839882405208
0.0891666666666667,83.93804395499
0.09,84.7729535945448
0.0908333333333333,85.588294802728
0.0916666666666667,86.3836604819566
0.0925,87.1586591109641
0.0933333333333333,87.9129150500972
0.0941666666666667,88.6460688342281
0.095,89.3577774530548
0.0958333333333333,90.0477146185701
0.0966666666666667,90.7155710194911
0.0975,91.361054562451
0.0983333333333333,91.9838905997648
0.0991666666666667,92.5838221435908
0.1,93.1606100663226
0.100833333333333,93.7140332870534
0.101666666666667,94.2438889439679
0.1025,94.7499925525283
0.103333333333333,95.2321781493299
0.104166666666667,95.6902984215136
0.105,96.1242248216368
0.105833333333333,96.5338476679106
0.106666666666667,96.9190762297263
0.1075,97.2798387984043
0.108333333333333,97.6160827431106
0.109166666666667,97.9277745518966
0.11,98.2149018782298
0.110833333333333,98.4775232999121
0.111666666666667,98.7158538002231
0.1125,98.9302787208566
0.113333333333333,99.1213510839717
0.114166666666667,99.2897877131396
0.115,99.4364642053415
0.115833333333333,99.5624087892846
0.116666666666667,99.6687951131169
0.1175,99.7569340121284
0.118333333333333,99.8282643141833
0.119166666666667,99.8843427473767
0.12,99.9268330207053
0.120833333333333,99.9574941543441
0.121666666666667,99.9781681413837
0.1225,99.9907670275726
0.123333333333333,99.9972594996896
0.124166666666667,99.9996570766208
0.125,100
0.125833333333333,100
0.126666666666667,100
0.1275,100
0.128333333333333,100
0.129166666666667,100
0.13,100
0.130833333333333,100
0.131666666666667,100
0.1325,100
0.133333333333333,100
0.134166666666667,100
0.135,100
0.135833333333333,100
0.136666666666667,100
0.1375,100
0.138333333333333,100
0.139166666666667,100
0.14,100
0.140833333333333,100
0.141666666666667,100
0.1425,100
0.143333333333333,100
0.144166666666667,100
0.145,100
0.145833333333333,100
0.146666666666667,100
0.1475,100
0.148333333333333,100
0.149166666666667,100
0.15,100
0.150833333333333,100
0.151666666666667,100
0.1525,100
0.153333333333333,100
0.154166666666667,100
0.155,100
0.155833333333333,100
0.156666666666667,100
0.1575,100
0.158333333333333,100
0.159166666666667,100
0.16,100
0.160833333333333,100
0.161666666666667,100
0.1625,100
0.163333333333333,100
0.164166666666667,100
0.165,100
0.165833333333333,100
0.166666666666667,100
0.1675,100
0.168333333333333,100
0.169166666666667,100
0.17,100
0.170833333333333,100
0.171666666666667,100
0.1725,100
0.173333333333333,100
0.174166666666667,100
0.175,100
0.175833333333333,100
0.176666666666667,100
0.1775,100
0.178333333333333,100
0.179166666666667,100
0.18,100
0.180833333333333,100
0.181666666666667,100
0.1825,100
0.183333333333333,100
0.184166666666667,100
0.185,100
0.185833333333333,100
0.186666666666667,100
0.1875,100
0.188333333333333,100
0.189166666666667,100
0.19,100
0.190833333333333,100
0.191666666666667,100
0.1925,100
0.193333333333333,100
0.194166666666667,100
0.195,100
0.195833333333333,100
0.196666666666667,100
0.1975,100
0.198333333333333,100
0.199166666666667,100
0.2,100
0.200833333333333,100
0.201666666666667,100
0.2025,100
0.203333333333333,100
0.204166666666667,100
0.205,100
0.205833333333333,100
0.206666666666667,100
0.2075,100
0.208333333333333,100
0.209166666666667,99.997810565696
0.21,99.9829256450867
0.210833333333333,99.9438424739184
0.211666666666667,99.8703183147716
0.2125,99.7533252201161
0.213333333333333,99.5850047953666
0.214166666666667,99.3586229619378
0.215,99.0685247203002
0.215833333333333,98.7100889130353
0.216666666666667,98.2796829878908
0.2175,97.7746177608363
0.218333333333333,97.1931021791188
0.219166666666667,96.5341980843174
0.22,95.7977749753996
0.220833333333333,94.9844647717761
0.221666666666667,94.0956165763563
0.2225,93.1332514386038
0.223333333333333,92.1000171175918
0.224166666666667,90.9991428450585
0.225,89.8343940884622
0.225833333333333,88.6100273140372
0.226666666666667,87.3307447498487
0.2275,86.0016491488487
0.228333333333333,84.6281985519308
0.229166666666667,83.2161610509862
0.23,81.7715695519585
0.230833333333333,80.3006765378999
0.231666666666667,78.8099088320255
0.2325,77.3058223607697
0.233333333333333,75.7950569168411
0.234166666666667,74.2831771699919
0.235,72.7712974231427
0.235833333333333,71.2594176762935
0.236666666666667,69.7475379294444
0.2375,68.2356581825952
0.238333333333333,66.723778435746
0.239166666666667,65.2118986888969
0.24,63.7000189420477
0.240833333333333,62.1881391951985
0.241666666666667,60.6762594483493
0.2425,59.1643797015001
0.243333333333333,57.6524999546509
0.244166666666667,56.1406202078017
0.245,54.6287404609526
0.245833333333333,53.1168607141034
0.246666666666667,51.6049809672542
0.2475,50.093101220405
0.248333333333333,48.5812214735559
0.249166666666667,47.0693417267067
0.25,45.5574619798575
0.250833333333333,44.0455822330083
0.251666666666667,42.5337024861591
0.2525,41.0218227393099
0.253333333333333,39.5099429924607
0.254166666666667,37.9980632456116
0.255,36.4861834987624
0.255833333333333,34.9743037519132
0.256666666666667,33.4624240050641
0.2575,31.9505442582149
0.258333333333333,30.4386645113657
0.259166666666667,28.9267847645165
0.26,27.4149050176673
0.260833333333333,25.9030252708181
0.261666666666667,24.3911455239689
0.2625,22.8792657771198
0.263333333333333,21.3673860302706
0.264166666666667,19.8555062834214
0.265,18.3436265365722
0.265833333333333,16.8317467897231
0.266666666666667,15.3198670428739
0.2675,13.8114396392068
0.268333333333333,12.3231121088089
0.269166666666667,10.8732749556405
0.27,9.47841278927523
0.270833333333333,8.15305908424641
0.271666666666667,6.90975093939234
0.2725,5.75898383720229
0.273333333333333,4.70916640316215
0.274166666666667,3.76657516510029
0.275,2.93530931253325
0.275833333333333,2.21724545601154
0.276666666666667,1.61199238646541
0.2775,1.11684583455056
0.278333333333333,0.726743229994001
0.279166666666667,0.434218460939717
0.28,0.2293566332945
0.280833333333333,0.0997488300736389
0.281666666666667,0.0304468707468596
0.2825,0.00391807058376107
0.283333333333333,0
0.284166666666667,0
0.285,0
0.285833333333333,0
0.286666666666667,0
0.2875,0
0.288333333333333,0
0.289166666666667,0
0.29,0
0.290833333333333,0
0.291666666666667,0
0.2925,0
0.293333333333333,0
0.294166666666667,0
0.295,0
0.295833333333333,0
0.296666666666667,0
0.2975,0
0.298333333333333,0
0.299166666666667,0
0.3,0
